"track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","artist_mb","artist_lastfm","country_mb","country_lastfm","tags_lastfm"
"It's the Most Wonderful Time of the Year","Andy Williams",1,1963,10,14,8879,0,"663832097",182,107,"160",0,"1",202,"G","Major",24,76,60,77,0,12,4,"andy williams","Andy Williams","United States","United States","oldies; 60s; easy listening; pop; male vocalists; american; jazz; lounge; Andy Williams; christmas; classic rock; swing; 50s; crooners; crooner; vocal; Retro; iowa; USA; Smooth Jazz; Soundtrack; 70s; classic pop; country; rock; Traditional Pop; romantic; acid jazz; easy; Andy; All; golden oldies; male; soul; classic; favorites; acoustic; soft rock; funk; blues; groove; Big Band; funky; jecks; deceased; wall lake; Love; vocal jazz; vocals; smooth; male vocalist; 60's; 1960s; everything; david; scott; evergreen; easy listning; The; Christmas Music; Vocal Pop; dexter; w; erotique; and; Williams; schlageroldies; the king of easy listening; where do i beginlove story; moyer; farbel"
"Tak Segampang Itu","Anggi Marito",1,2022,12,2,213,6,"179659294",7,6,"0",0,"48",130,"F","Major",51,18,44,76,0,11,3,NA,NA,NA,NA,NA
"Envolver","Anitta",1,2021,11,11,4673,2,"546191065",123,113,"180",1,"4",92,"E","Minor",81,40,73,15,0,9,8,"anitta","Anitta","Brazil","Brazil; Spain; United States","pop; brazilian; funk; female vocalists; dance; brazil; latin; Anitta; rnb; dance pop; seen live; diva; funk melody; Sandy Leah; Reggaeton; cara de cavalo com aids; electropop; female; brasil; vulgar; funk pop; lixo; chacota; coisa de pobre; female vocalist; guilty pleasure; latin pop; teen; Brazilian Pop; electronic; folk; sexy; dubstep; pop rock; acoustic; dance-pop; r&b; mpb; sweet; Funk Carioca; baile funk; 10s; tosca; br; claudia leitte; rainha; B-pop; tapete da valesca; eu peidando no microfone seria melhor; ridicula; mc anitta; better than selena gomez; PREPARA; rainha do pop brasileiro; heavy metal; Hip-Hop; spanish; chillout; indie; jazz; hip hop; chill; rock; alternative; rap; indie pop; USA; Love; Queen; world; urban; britpop; indietronica; girls; 3; remix; gay; Lady Gaga; female vocals; World Music; latino; dj; beat; hot; worldwide; melody; lovely; visual; rio de janeiro; female singers; português; baby; misc; 2010s; Rihanna; eletronic; South American; Girl; ladies; thoughts"
"La Loto","Anitta, Tini, Becky G",3,2022,7,6,945,0,"121189256",49,3,"57",0,"0",90,"C#","Major",85,80,83,10,0,8,11,NA,NA,NA,NA,NA
"Tom's Diner","AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,"236872197",15,48,"50",0,"3",98,"F#","Minor",68,33,43,38,0,36,14,NA,NA,NA,NA,NA
"Ley Seca","Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,"355219175",101,12,"38",0,"0",105,"G#","Major",76,58,84,10,0,13,10,NA,NA,NA,NA,NA
"Sï¿½ï¿½","Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,"177129919",30,26,"15",0,"0",90,"F#","Minor",63,75,75,17,0,11,8,NA,NA,NA,NA,NA
"La Jumpa","Arcangel, Bad Bunny",2,2022,11,30,3794,34,"538115192",47,77,"53",10,"8",123,"G#","Major",71,58,70,30,0,32,19,NA,NA,NA,NA,NA
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,"100409613",11,3,"18",1,"1",124,"B","Minor",72,79,78,55,0,15,30,NA,NA,NA,NA,NA
"Se Le Ve","Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,"223319934",72,0,"0",0,"0",84,"G","Minor",56,61,76,10,0,14,11,NA,NA,NA,NA,NA
"505","Arctic Monkeys",1,2007,4,20,13985,25,"1217120710",30,80,"588",1,"1",140,"","Major",52,20,85,0,0,7,5,"arctic monkeys","Arctic Monkeys","United Kingdom","United Kingdom","indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; Garage Rock; UK; brit rock; post-punk; 00s; Post-punk revival; Sheffield; punk; male vocalists; Britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; Psychedelic Rock"
"I Wanna Be Yours","Arctic Monkeys",1,2013,1,1,12859,110,"1297026226",24,98,"582",2,"73",135,"","Minor",48,44,42,12,2,11,3,"arctic monkeys","Arctic Monkeys","United Kingdom","United Kingdom","indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; Garage Rock; UK; brit rock; post-punk; 00s; Post-punk revival; Sheffield; punk; male vocalists; Britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; Psychedelic Rock"
"Why'd You Only Call Me When You're High?","Arctic Monkeys",1,2013,1,1,23389,29,"1267333350",54,70,"1,089",2,"1",92,"D","Major",70,81,63,4,0,8,4,"arctic monkeys","Arctic Monkeys","United Kingdom","United Kingdom","indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; Garage Rock; UK; brit rock; post-punk; 00s; Post-punk revival; Sheffield; punk; male vocalists; Britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; Psychedelic Rock"
"Do I Wanna Know?","Arctic Monkeys",1,2013,1,1,33783,26,"1788326445",133,92,"2,733",1,"26",85,"F","Major",55,42,53,17,0,22,3,"arctic monkeys","Arctic Monkeys","United Kingdom","United Kingdom","indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; Garage Rock; UK; brit rock; post-punk; 00s; Post-punk revival; Sheffield; punk; male vocalists; Britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; Psychedelic Rock"
"Santa Tell Me","Ariana Grande",1,2013,12,13,9408,0,"834129063",231,106,"439",0,"",133,"G","Major",46,53,63,5,0,30,18,"ariana grande","Ariana Grande","United States","United States","pop; female vocalists; rnb; Ariana Grande; nickelodeon; american; r&b; dance; soul; singer-songwriter; florida; dance-pop; electropop; sexy; USA; 3; Bridgit Mendler; Soundtrack; seen live; female vocalist; 10s; teen pop; Mariah Carey; contemporary rnb; chillout; chill; cute; world; World Music; boca raton; All; Selena Gomez; justin bieber; Skitz0rz; uitluisteren artist; holloween skitz0rz; Hip-Hop; electronic; female; beautiful; guilty pleasure; hot; trap; sunflower; Miley Cyrus; my dance room; hip hop; pop rock; Queen; electro house; english; perfect; EDM; United States; Demi Lovato; victorious; fav888; rock; C; urban; House; g; k; 1; f; dance pop; j; 4; shit; R; lovely; Disney; overrated; E; misc; 9; 2; 7; us; songs; 13; 5; 6; i; o; 8; 0; x; bats; r'n'b; d; Shady; s; b; cancer; h; a; w; amazing voice; m"
"positions","Ariana Grande",1,2020,10,23,8207,0,"1252563873",175,55,"95",0,"2",144,"","Major",73,66,80,44,0,9,12,"ariana grande","Ariana Grande","United States","United States","pop; female vocalists; rnb; Ariana Grande; nickelodeon; american; r&b; dance; soul; singer-songwriter; florida; dance-pop; electropop; sexy; USA; 3; Bridgit Mendler; Soundtrack; seen live; female vocalist; 10s; teen pop; Mariah Carey; contemporary rnb; chillout; chill; cute; world; World Music; boca raton; All; Selena Gomez; justin bieber; Skitz0rz; uitluisteren artist; holloween skitz0rz; Hip-Hop; electronic; female; beautiful; guilty pleasure; hot; trap; sunflower; Miley Cyrus; my dance room; hip hop; pop rock; Queen; electro house; english; perfect; EDM; United States; Demi Lovato; victorious; fav888; rock; C; urban; House; g; k; 1; f; dance pop; j; 4; shit; R; lovely; Disney; overrated; E; misc; 9; 2; 7; us; songs; 13; 5; 6; i; o; 8; 0; x; bats; r'n'b; d; Shady; s; b; cancer; h; a; w; amazing voice; m"
"Die For You - Remix","Ariana Grande, The Weeknd",2,2023,2,24,3408,47,"518745108",87,86,"74",1,"16",67,"C#","Minor",53,50,53,23,0,44,7,NA,NA,NA,NA,NA
"Save Your Tears (with Ariana Grande) (Remix)","Ariana Grande, The Weeknd",2,2020,3,20,9161,5,"1221813483",240,98,"468",3,"10",118,"","Major",65,63,79,3,0,10,3,NA,NA,NA,NA,NA
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,"139836056",11,101,"0",0,"48",94,"A","Major",59,44,56,80,0,6,3,NA,NA,NA,NA,NA
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,"64533040",6,71,"1",0,"31",100,"E","Major",56,53,55,53,0,12,4,NA,NA,NA,NA,NA
"Jhoome Jo Pathaan","Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,"1365184",13,78,"2",0,"0",105,"G","Major",82,62,74,10,0,33,7,NA,NA,NA,NA,NA
"BILLIE EILISH.","Armani White",1,2022,1,20,2537,0,"277132266",49,1,"67",11,"1",100,"C#","Major",90,75,50,11,0,9,26,NA,NA,NA,NA,NA
"Volvï¿","Aventura, Bad Bunny",2,2021,8,3,5375,10,"673801126",138,24,"133",0,"1",176,"C#","Major",73,79,86,42,0,7,18,NA,NA,NA,NA,NA
"Wake Me Up - Radio Edit","Avicii",1,2013,1,1,50887,34,"1970673297",315,160,"6,284",1,"46",124,"D","Major",53,66,78,0,0,16,5,"avicii","Avicii","Sweden","Sweden","House; electronic; dance; Progressive House; electro house; swedish; seen live; electronica; EDM; club; Avicii; electro; dj; Sweden; pop; trance; dubstep; techno; tech house; deep house; folktronica; eurodance; stockholm; tim berg"
"The Nights","Avicii",1,2014,1,1,17354,8,"1456081449",92,122,"1,282",0,"55",126,"F#","Major",53,66,85,2,0,24,4,"avicii","Avicii","Sweden","Sweden","House; electronic; dance; Progressive House; electro house; swedish; seen live; electronica; EDM; club; Avicii; electro; dj; Sweden; pop; trance; dubstep; techno; tech house; deep house; folktronica; eurodance; stockholm; tim berg"
"MONTAGEM - FR PUNK","Ayparia, unxbected",2,2012,6,20,641,50,"58054811",1,52,"8",0,"1,170",129,"A","Major",63,84,82,70,8,9,7,NA,NA,NA,NA,NA
"PUNTO 40","Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,12,"304079786",54,32,"66",2,"0",107,"","Major",87,20,83,0,4,31,9,NA,NA,NA,NA,NA
"Hey, Mickey!","Baby Tate",1,2016,9,27,482,0,"122763672",9,1,"12",4,"3",135,"D","Major",92,73,51,55,0,15,6,NA,NA,NA,NA,NA
"Titi Me Preguntï¿","Bad Bunny",1,2022,5,6,9037,42,"1264310836",124,133,"139",14,"166",107,"F","Minor",65,19,72,10,0,13,25,"bad bunny","Bad Bunny","United States","",""
"Agosto","Bad Bunny",1,2022,5,6,897,0,"246127838",6,20,"8",0,"0",115,"C#","Minor",85,72,58,9,0,49,12,"bad bunny","Bad Bunny","United States","",""
"Dos Mil 16","Bad Bunny",1,2022,5,6,892,3,"338422004",10,24,"11",0,"0",130,"C#","Major",82,50,67,12,0,13,5,"bad bunny","Bad Bunny","United States","",""
"Moscow Mule","Bad Bunny",1,2022,5,6,4572,33,"909001996",74,113,"85",9,"2",100,"F","Minor",80,29,67,29,0,12,3,"bad bunny","Bad Bunny","United States","",""
"Despuï¿½ï¿½s de la P","Bad Bunny",1,2022,5,6,2229,0,"461558540",27,44,"24",0,"5",78,"F","Major",56,61,90,36,0,18,31,"bad bunny","Bad Bunny","United States","",""
"Un Verano Sin Ti","Bad Bunny",1,2022,5,6,1004,1,"283332261",8,12,"9",0,"0",188,"F","Minor",50,41,50,69,0,12,6,"bad bunny","Bad Bunny","United States","",""
"Aguacero","Bad Bunny",1,2022,5,6,829,0,"283359161",4,15,"10",0,"0",121,"F#","Minor",86,67,65,42,0,35,7,"bad bunny","Bad Bunny","United States","",""
"Yo No Soy Celoso","Bad Bunny",1,2022,5,6,1179,0,"313113297",7,21,"11",0,"0",142,"","Major",87,93,59,28,0,17,5,"bad bunny","Bad Bunny","United States","",""
"Un Coco","Bad Bunny",1,2022,5,6,1029,28,"403231558",5,28,"9",0,"0",152,"B","Major",84,74,69,21,0,18,6,"bad bunny","Bad Bunny","United States","",""
"WHERE SHE GOES","Bad Bunny",1,2023,5,18,3133,50,"303236322",84,133,"87",15,"425",144,"A","Minor",65,23,80,14,63,11,6,"bad bunny","Bad Bunny","United States","",""
"Un Ratito","Bad Bunny",1,2022,5,6,1112,6,"417230415",7,30,"13",1,"1",93,"","Minor",79,22,55,31,0,12,5,"bad bunny","Bad Bunny","United States","",""
"Efecto","Bad Bunny",1,2022,5,6,4004,33,"1047480053",34,65,"43",6,"2",98,"G","Minor",80,23,48,14,0,6,5,"bad bunny","Bad Bunny","United States","",""
"Yonaguni","Bad Bunny",1,2021,6,4,9644,28,"1260594497",120,86,"164",4,"0",180,"C#","Major",64,44,65,28,0,14,12,"bad bunny","Bad Bunny","United States","",""
"Neverita","Bad Bunny",1,2022,5,6,2590,30,"671365962",20,64,"35",6,"0",122,"A#","Major",88,43,50,7,0,14,5,"bad bunny","Bad Bunny","United States","",""
"Ensï¿½ï¿½ï¿½ï¿½ame ","Bad Bunny",1,2022,5,6,1112,3,"279737940",7,25,"12",0,"0",105,"G#","Major",81,77,79,19,0,47,8,"bad bunny","Bad Bunny","United States","",""
"El Apagï¿½","Bad Bunny",1,2022,5,6,1209,0,"212351890",9,7,"14",0,"1",118,"G#","Major",63,60,70,5,0,9,31,"bad bunny","Bad Bunny","United States","",""
"La Zona","Bad Bunny",1,2020,2,29,1188,0,"312622938",13,1,"15",0,"1",94,"C#","Minor",76,81,80,20,0,25,4,"bad bunny","Bad Bunny","United States","",""
"A Tu Merced","Bad Bunny",1,2020,2,29,4214,11,"685071800",21,20,"40",0,"0",92,"","Major",86,89,79,17,0,11,6,"bad bunny","Bad Bunny","United States","",""
"Me Fui de Vacaciones","Bad Bunny",1,2022,5,6,1443,0,"305650299",9,11,"22",1,"0",85,"A#","Major",71,43,65,23,0,9,5,"bad bunny","Bad Bunny","United States","",""
"Coco Chanel","Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,"250305248",28,89,"29",5,"82",150,"D","Major",68,14,76,4,0,10,4,NA,NA,NA,NA,NA
"un x100to","Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,"505671438",41,205,"54",12,"251",83,"F#","Minor",57,56,72,23,0,27,5,NA,NA,NA,NA,NA
"Dakiti","Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,"1763363713",189,166,"525",9,"25",110,"E","Minor",73,14,57,40,0,11,5,NA,NA,NA,NA,NA
"Tarot","Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,"608228647",27,77,"22",2,"0",114,"B","Minor",80,42,68,2,0,66,4,NA,NA,NA,NA,NA
"Party","Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,"614555082",38,64,"37",3,"36",97,"A","Major",83,47,80,2,0,24,9,NA,NA,NA,NA,NA
"Callaita","Bad Bunny, Tainy",2,2019,5,31,9539,15,"1304313953",162,116,"355",7,"0",176,"D","Major",61,24,62,60,0,24,31,NA,NA,NA,NA,NA
"Otro Atardecer","Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7,"319546754",10,30,"13",0,"33",108,"D","Major",78,55,60,59,0,7,4,NA,NA,NA,NA,NA
"Do They Know It's Christmas? - 1984 Version","Band Aid",1,1984,11,25,14169,0,"481697415",209,30,"449",0,"0",115,"","Major",60,23,57,0,2,27,3,"band aid","Band Aid","","Ireland; United Kingdom","christmas; pop; 80s; rock; british; charity; Supergroup; xmas; new wave; irish; male vocalists; Christmas Songs; alternative christmas; band aid; charity christmas; male; soft rock; duets; alternative; activist; english; bono; 80s Pop; Brutal Death Metal; duran duran; George Michael; nostalgy; Bob Geldof; bestxmasever; Travisrecommends; eighties-pop; Christmas Wonderland; xmas fun; artists for a cause; benefit album; female; instrumental; female vocalists; hard rock; UK; pop rock; world; britpop; Awesome; england; peace; gay; smooth; synthpop; D2; cool; novelty; 80's; Pop-Rock; francais; francophone; Europe; ireland; sting; david bowie; goregrind; collaborations; Officially Shit; dire; Weihnachten; Spandau Ballet; os; paul mccartney; emotions; carols; Heaven 17; Phil Collins; kool and the gang; All; boy george; british rock; Ultravox; supergroups; paul weller; top250artists; contemporary rock; Destroy Rock and Roll; done; 70s80s; My vinyl; Status Quo; big country; live aid; 80er Pop; Simon Le Bon; 60s-90s pop-rock; midge ure; Paul Young; Seen on Beavis and Butt-Head; Happy Birthday Jesus; christmas 1984; bobbys shit; Similar artists; Nachmittagsmusik; uk ftw"
"Space Song","Beach House",1,2015,1,1,17852,4,"789753877",69,76,"335",0,"",147,"","Minor",51,62,79,22,13,14,3,"beach house","Beach House","United States","United States","dream pop; seen live; indie pop; indie; Lo-Fi; Dreamy; shoegaze; female vocalists; american; electronic; pop; indie rock; Baltimore; alternative; psychedelic; ethereal; melancholic; Mellow; folk; ambient; experimental; chillout; maryland; 00s; USA; dreampop; beach house; soft; rock; downtempo; beautiful; chill; electronica; Neo-Psychedelia; baroque pop; Dream; gilbert"
"Sex, Drugs, Etc.","Beach Weather",1,2016,11,4,3006,16,"480507035",47,60,"87",12,"124",144,"E","Minor",57,47,84,1,1,52,4,NA,NA,NA,NA,NA
"I'm Good (Blue)","Bebe Rexha, David Guetta",2,2022,8,26,12482,80,"1109433169",291,184,"537",45,"727",128,"G","Minor",56,38,97,4,0,35,4,NA,NA,NA,NA,NA
"Chanel","Becky G, Peso Pluma",2,2023,3,30,681,10,"161460990",15,92,"21",2,"26",132,"D","Major",85,53,68,40,0,9,4,NA,NA,NA,NA,NA
"Gatita","Bellakath",1,2022,10,3,1054,0,"168684524",9,0,"15",0,"1",101,"G","Major",90,76,81,15,24,33,6,NA,NA,NA,NA,NA
"In The Stars","Benson Boone",1,2022,4,29,2224,8,"382199619",48,40,"87",1,"210",78,"A#","Major",36,30,54,34,0,14,5,NA,NA,NA,NA,NA
"CUFF IT","Beyoncï¿",1,2022,7,29,7842,10,"595900742",215,88,"330",26,"23",115,"G","Major",78,64,69,4,0,7,14,NA,NA,NA,NA,NA
"ALIEN SUPERSTAR","Beyoncï¿",1,2022,7,29,2688,0,"171788484",39,47,"36",0,"0",122,"A#","Minor",55,46,64,0,0,17,10,NA,NA,NA,NA,NA
"BREAK MY SOUL","Beyoncï¿",1,2022,6,21,9724,0,"354614964",222,61,"259",14,"2",115,"C#","Minor",70,87,88,4,0,26,8,NA,NA,NA,NA,NA
"Still Life","BIGBANG",1,2022,4,5,181,0,"53909146",16,14,"7",0,"0",118,"G#","Major",68,24,58,44,0,6,3,"bigbang","Bigbang","Norway","Norway; South Korea","seen live; norwegian; rock; k-pop; big bang; alternative rock; Korean; indie; norsk; Kpop; BigBang; pop; alternative; Hip-Hop; blues; blues rock; Norway; norwegian rock; electronic; scandinavian; indie rock; male vocalists; dance; acoustic; classic rock; rap; Progressive rock; j-pop; g-dragon; Roskilde 2007; roskilde 07; k-pop hiphop; jazz; 00s; male vocals; scandinavia; Bands I have seen live; Norge; All; DaeSung; YG Entertainment; k-pop korean hip hop; chillout; chill; 80s; punk; folk; hard rock; Love; blues-rock; Awesome; rnb; norwegian jazz; Smooth Jazz; male vocalist; Southern Rock; boyband; Kings; yndug; seungri; YG; ambiguous artist name; haru haru; hip hop; Stoner Rock; world; top; Asian; k-hiphop; Rock and Roll; 4; 10s; south korea; bergen; goil; seen twice; sett live; Stuff I Have Seen Live; Check it out; trilingual; Tronder-rock; Easy Jazz; been there; taeyang; pdr; pedras; storaas; should be more popular; Artists I have seen Live; seen lie; basic rock; boy group; Sami Joik; Mr Kinskis Favourites; glitterhouse; storasfestivalen 2007; scandinavian music thats not metal; digg; gdragon; mine favoritter"
"Still Life","BIGBANG",1,2022,4,5,181,0,"53909146",16,14,"7",0,"0",118,"G#","Major",68,24,58,44,0,6,3,"big bang","Big Bang","United Kingdom","Japan; South Korea","k-pop; Korean; Hip-Hop; big bang; Kpop; pop; yg family; male vocalists; boyband; BigBang; dance; hip hop; rnb; g-dragon; YG Entertainment; rap; k-hiphop; j-pop; Korean Hip-Hop; sexy; Asian; top; taeyang; boy band; k-music; DaeSung; electronic; r&b; seungri; <3; Korean Pop; K-hip hop; Love; korea makes rap listenable; seen live; YG; Tae Yang; Korean Hip Hop; boybands with lickable members; japanese; JPop; k-rnb; male; Korea; k-urban; please let me lick you; nu jazz; My favorite artists; asian music; haru haru; rock; nu-jazz; K-RAP; hot; want to see live; hot guys; best of korea; taeyang is fucking hot"
"Los del Espacio","Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,"123122413",22,33,"34",7,"184",120,"","Major",81,63,68,11,0,11,4,NA,NA,NA,NA,NA
"Un Finde | CROSSOVER #2","Big One, FMK, Ke personajes",3,2023,4,4,561,14,"142095275",4,14,"12",5,"56",192,"B","Major",50,85,52,11,0,28,6,NA,NA,NA,NA,NA
"What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish",1,2023,7,13,873,104,"30546883",80,227,"95",24,"1,173",78,"","Major",44,14,9,96,0,10,3,NA,NA,NA,NA,NA
"TV","Billie Eilish",1,2022,7,21,3009,2,"338564981",68,89,"65",0,"25",141,"E","Minor",41,9,25,84,1,14,4,NA,NA,NA,NA,NA
"Bored","Billie Eilish",1,2017,3,30,4204,0,"777765388",39,45,"250",0,"0",120,"G","Major",60,11,33,90,0,8,5,NA,NA,NA,NA,NA
